Model,Brand,OS_Version,Screen_Size_Inches,Battery_mAh,RAM_GB,Storage_GB,Rear_Camera_MP,Front_Camera_MP,Processor,Refresh_Rate_Hz,Connectivity,Face_Unlock,Fingerprint_Sensor,Dual_SIM,Warranty,Screen_Type,Charging_Port,Fast_Charging,Body_Material,Weight_g,Thickness_mm,Price_Category
XIA-378,Xiaomi,iOS 15,5.65,3300,3,512,72,35,MediaTek,144,5G,Yes,No,No,1 Year,IPS,Lightning,Yes,Glass,156,6.8,Low
SAM-846,Samsung,Android 11,6.95,5100,4,64,12,35,Kirin,90,5G,Yes,No,Yes,1 Year,LCD,Micro-USB,Yes,Metal,131,7.8,Medium
VIV-909,Vivo,iOS 14,6.43,5400,2,32,76,10,MediaTek,60,5G,No,No,Yes,2 Years,AMOLED,Micro-USB,No,Plastic,123,7.5,Very High
XIA-385,Xiaomi,Android 11,6.16,4600,2,64,100,40,Snapdragon,90,4G,No,No,Yes,1 Year,AMOLED,Micro-USB,Yes,Plastic,125,8.8,Very High
SAM-685,Samsung,Android 10,5.25,4000,8,32,60,25,Snapdragon,144,4G,No,No,No,2 Years,AMOLED,Type-C,Yes,Glass,172,9.4,Very High
SAM-665,Samsung,Android 11,5.2,5200,8,32,36,10,Exynos,60,4G,Yes,Yes,Yes,2 Years,LCD,Lightning,No,Plastic,197,6.5,Very High
SAM-913,Samsung,iOS 14,6.49,4800,6,256,64,30,Apple Bionic,90,5G,No,Yes,Yes,1 Year,IPS,Type-C,No,Glass,147,9.2,Medium
SAM-877,Samsung,iOS 15,5.15,3100,6,512,92,25,Kirin,90,4G,No,No,No,No Warranty,LCD,Micro-USB,No,Plastic,235,7.6,Low
VIV-775,Vivo,iOS 15,5.92,4900,8,512,32,10,Kirin,60,4G,No,Yes,No,No Warranty,OLED,Type-C,No,Plastic,141,8.7,Low
SAM-655,Samsung,Android 11,5.05,3700,12,64,92,15,Snapdragon,120,4G,No,No,No,1 Year,IPS,Micro-USB,Yes,Glass,168,8.4,Low
TEC-494,Tecno,Android 10,6.37,4600,8,128,72,25,Apple Bionic,120,4G,Yes,No,Yes,1 Year,AMOLED,Micro-USB,Yes,Plastic,163,7.0,Very High
HUA-555,Huawei,Android 12,5.17,5600,6,512,40,10,Apple Bionic,120,4G,No,No,No,1 Year,OLED,Micro-USB,No,Plastic,179,8.1,Very High
SAM-881,Samsung,Android 10,5.55,3700,2,256,88,40,Snapdragon,144,4G,Yes,No,Yes,2 Years,AMOLED,Lightning,No,Metal,221,9.4,High
TEC-837,Tecno,iOS 15,6.28,4200,12,512,32,30,Snapdragon,120,5G,No,Yes,No,2 Years,AMOLED,Lightning,Yes,Glass,151,8.4,High
XIA-923,Xiaomi,iOS 14,5.77,4700,8,64,88,20,Snapdragon,90,4G,No,No,No,2 Years,IPS,Type-C,Yes,Glass,142,7.0,Very High
XIA-419,Xiaomi,Android 11,6.58,5800,12,128,100,30,Kirin,144,4G,No,No,Yes,2 Years,IPS,Lightning,No,Plastic,228,8.5,High
HUA-575,Huawei,Android 12,6.32,3500,4,128,8,30,Kirin,120,5G,No,Yes,Yes,1 Year,OLED,Lightning,No,Plastic,181,9.3,Low
REA-727,Realme,Android 10,6.83,6000,4,64,12,35,Exynos,120,5G,Yes,Yes,Yes,1 Year,AMOLED,Type-C,Yes,Glass,162,7.8,High
XIA-160,Xiaomi,iOS 14,6.26,3200,3,32,32,35,Kirin,90,5G,Yes,No,Yes,No Warranty,LCD,Micro-USB,Yes,Metal,120,8.0,Low
APP-421,Apple,Android 11,6.91,3900,8,128,24,40,Apple Bionic,120,5G,Yes,Yes,Yes,No Warranty,LCD,Micro-USB,No,Plastic,165,7.2,Medium
VIV-688,Vivo,Android 10,5.19,3600,2,128,12,40,Exynos,60,4G,Yes,No,No,No Warranty,AMOLED,Lightning,Yes,Glass,178,8.1,Low
INF-462,Infinix,Android 12,5.26,3600,6,512,104,15,Snapdragon,120,5G,Yes,No,Yes,2 Years,AMOLED,Lightning,No,Glass,190,7.2,Low
TEC-577,Tecno,Android 11,6.43,3600,2,64,92,15,Snapdragon,144,4G,No,Yes,Yes,2 Years,IPS,Type-C,Yes,Plastic,213,7.6,High
REA-808,Realme,Android 10,5.62,5000,3,64,20,40,Exynos,120,5G,Yes,No,Yes,No Warranty,OLED,Micro-USB,No,Metal,212,7.5,Very High
SAM-779,Samsung,iOS 15,6.08,5500,2,256,96,5,Snapdragon,60,4G,No,No,Yes,2 Years,AMOLED,Lightning,No,Metal,163,7.4,Very High
VIV-314,Vivo,Android 11,6.42,4200,4,512,92,35,Kirin,120,4G,Yes,Yes,No,1 Year,LCD,Type-C,Yes,Metal,138,6.8,Medium
XIA-340,Xiaomi,Android 12,5.54,5800,12,32,20,15,Snapdragon,90,5G,No,Yes,No,2 Years,LCD,Micro-USB,No,Plastic,231,7.9,Medium
SAM-574,Samsung,Android 10,6.37,4400,3,64,92,30,MediaTek,60,5G,Yes,Yes,Yes,2 Years,AMOLED,Lightning,No,Plastic,120,6.9,High
TEC-854,Tecno,iOS 15,6.62,5100,6,128,104,15,Exynos,90,5G,Yes,No,No,1 Year,LCD,Lightning,No,Glass,220,8.6,Very High
APP-194,Apple,iOS 15,6.13,5500,2,64,20,10,Exynos,60,5G,No,Yes,No,2 Years,LCD,Lightning,No,Glass,168,7.9,High
SAM-875,Samsung,iOS 14,5.22,3500,8,64,24,40,Snapdragon,144,4G,No,No,Yes,No Warranty,OLED,Lightning,No,Metal,225,8.0,Low
SAM-149,Samsung,Android 10,5.59,3300,3,256,96,25,MediaTek,60,5G,No,Yes,No,2 Years,AMOLED,Micro-USB,No,Plastic,160,9.2,Medium
XIA-511,Xiaomi,Android 12,7.0,4400,3,32,20,5,Snapdragon,90,4G,No,No,Yes,1 Year,LCD,Type-C,Yes,Plastic,152,7.8,Medium
VIV-626,Vivo,Android 10,5.08,4800,12,512,32,10,Snapdragon,120,4G,Yes,No,Yes,No Warranty,OLED,Type-C,Yes,Metal,212,9.1,Low
OPP-690,Oppo,iOS 15,5.49,5500,4,32,12,5,Exynos,144,4G,No,Yes,Yes,2 Years,OLED,Lightning,No,Metal,172,6.7,Very High
APP-147,Apple,Android 10,6.09,3800,3,128,20,15,Apple Bionic,60,5G,No,No,Yes,No Warranty,IPS,Lightning,Yes,Plastic,182,7.3,Low
TEC-678,Tecno,Android 11,6.03,3600,4,32,20,25,Apple Bionic,144,4G,Yes,No,Yes,No Warranty,OLED,Type-C,No,Glass,157,7.4,High
APP-664,Apple,Android 11,6.36,4900,12,64,20,40,Kirin,60,5G,Yes,Yes,No,2 Years,AMOLED,Lightning,Yes,Metal,129,7.6,Low
INF-485,Infinix,Android 10,6.21,3000,4,128,76,35,Exynos,60,4G,No,No,No,2 Years,LCD,Lightning,Yes,Plastic,124,7.4,Medium
XIA-702,Xiaomi,iOS 14,6.49,5900,6,256,16,20,Kirin,144,5G,No,No,No,No Warranty,LCD,Lightning,No,Plastic,208,9.1,High
INF-894,Infinix,Android 12,5.25,3600,3,512,48,25,Apple Bionic,60,4G,Yes,No,Yes,No Warranty,AMOLED,Lightning,Yes,Metal,162,8.4,High
TEC-514,Tecno,iOS 15,5.1,4800,8,32,72,25,Kirin,60,4G,No,No,Yes,2 Years,LCD,Lightning,Yes,Plastic,192,6.7,Low
VIV-646,Vivo,iOS 14,6.58,3300,2,256,32,10,MediaTek,90,5G,Yes,No,No,2 Years,LCD,Micro-USB,No,Glass,196,8.4,Low
XIA-169,Xiaomi,Android 12,6.39,5400,2,256,72,10,Exynos,144,5G,No,Yes,Yes,1 Year,OLED,Type-C,No,Glass,180,8.9,Very High
APP-647,Apple,Android 10,6.42,5400,12,256,44,40,Exynos,60,5G,Yes,No,No,2 Years,IPS,Micro-USB,Yes,Metal,125,7.3,Medium
VIV-851,Vivo,Android 12,5.57,3600,2,128,92,15,Kirin,120,5G,No,Yes,No,No Warranty,IPS,Lightning,Yes,Plastic,204,9.1,Very High
TEC-286,Tecno,iOS 15,6.84,5600,3,256,12,35,Exynos,60,4G,No,Yes,Yes,No Warranty,OLED,Type-C,No,Plastic,141,7.1,Very High
APP-941,Apple,iOS 14,6.59,3200,8,64,104,10,Snapdragon,90,5G,No,No,Yes,2 Years,AMOLED,Lightning,Yes,Plastic,192,7.2,Very High
SAM-325,Samsung,Android 10,5.17,3700,3,128,40,15,MediaTek,144,4G,No,Yes,Yes,No Warranty,IPS,Micro-USB,No,Glass,150,9.4,Very High
INF-563,Infinix,Android 11,6.77,3300,2,256,92,40,Exynos,90,5G,No,No,No,No Warranty,OLED,Micro-USB,No,Metal,162,9.5,High
XIA-400,Xiaomi,iOS 14,6.78,4500,12,64,44,5,MediaTek,60,4G,Yes,No,No,No Warranty,OLED,Lightning,Yes,Plastic,169,8.6,Medium
VIV-509,Vivo,iOS 15,6.86,4300,3,512,44,40,Snapdragon,144,4G,Yes,Yes,No,1 Year,LCD,Lightning,Yes,Plastic,232,8.9,Medium
TEC-101,Tecno,Android 12,5.65,3900,4,512,48,30,Apple Bionic,144,4G,No,No,Yes,2 Years,OLED,Lightning,Yes,Plastic,202,7.9,Medium
APP-189,Apple,Android 11,6.79,3400,4,128,60,5,Exynos,144,5G,No,Yes,Yes,No Warranty,AMOLED,Lightning,Yes,Metal,216,8.1,Low
OPP-884,Oppo,iOS 15,5.33,4400,2,128,40,20,Apple Bionic,60,5G,No,Yes,Yes,No Warranty,LCD,Lightning,Yes,Metal,134,8.8,Low
VIV-246,Vivo,Android 10,5.09,5700,2,32,8,25,Snapdragon,90,5G,No,No,No,2 Years,IPS,Micro-USB,Yes,Metal,218,9.4,High
XIA-114,Xiaomi,Android 11,5.98,3800,2,256,104,25,Snapdragon,90,4G,No,No,No,No Warranty,LCD,Micro-USB,No,Metal,120,9.1,Low
VIV-309,Vivo,Android 11,7.0,5100,2,256,40,25,Kirin,144,4G,No,No,No,2 Years,LCD,Lightning,Yes,Plastic,195,8.1,High
SAM-550,Samsung,Android 10,6.26,4000,3,32,76,15,Exynos,90,5G,No,Yes,Yes,1 Year,AMOLED,Micro-USB,Yes,Glass,155,6.9,Medium
REA-176,Realme,Android 12,5.08,3700,12,512,100,5,Snapdragon,60,4G,Yes,No,No,2 Years,AMOLED,Type-C,Yes,Plastic,212,6.9,Medium
SAM-218,Samsung,iOS 15,6.92,4900,4,128,104,30,Apple Bionic,90,5G,Yes,Yes,Yes,No Warranty,IPS,Lightning,Yes,Metal,135,9.4,High
REA-718,Realme,iOS 15,6.0,3700,6,64,92,25,Kirin,144,4G,Yes,No,No,2 Years,LCD,Micro-USB,No,Metal,210,6.7,Low
SAM-722,Samsung,iOS 14,5.26,4300,8,64,56,35,MediaTek,90,4G,Yes,No,Yes,1 Year,AMOLED,Type-C,No,Plastic,150,6.8,High
TEC-342,Tecno,Android 12,6.73,5200,6,256,16,30,Kirin,60,5G,No,Yes,No,2 Years,AMOLED,Type-C,No,Glass,220,7.8,Medium
SAM-761,Samsung,Android 12,6.81,4900,12,256,20,10,Snapdragon,60,5G,Yes,Yes,Yes,No Warranty,IPS,Type-C,Yes,Glass,168,8.7,High
APP-639,Apple,Android 10,5.17,4200,12,128,100,25,Exynos,120,4G,Yes,No,Yes,2 Years,IPS,Type-C,No,Plastic,171,9.2,Very High
VIV-751,Vivo,Android 11,5.97,3200,3,64,12,30,Exynos,144,5G,No,No,Yes,No Warranty,AMOLED,Micro-USB,No,Plastic,194,7.7,Medium
REA-447,Realme,Android 12,5.44,3400,2,256,104,15,Snapdragon,144,5G,No,No,Yes,1 Year,OLED,Micro-USB,Yes,Plastic,182,8.9,Very High
VIV-241,Vivo,Android 10,5.79,3000,8,64,88,5,Apple Bionic,60,5G,No,No,Yes,2 Years,LCD,Lightning,Yes,Glass,179,7.8,Very High
XIA-765,Xiaomi,Android 10,6.77,5500,6,128,44,30,Apple Bionic,90,4G,Yes,Yes,No,1 Year,LCD,Type-C,Yes,Plastic,191,8.2,High
APP-174,Apple,iOS 14,6.18,3700,6,512,32,25,Exynos,144,4G,No,Yes,No,No Warranty,LCD,Lightning,No,Metal,204,8.5,High
INF-383,Infinix,Android 10,6.01,3700,12,256,108,20,Snapdragon,144,4G,No,No,No,1 Year,IPS,Lightning,No,Plastic,142,7.3,Medium
REA-133,Realme,Android 10,6.92,3400,4,64,76,10,MediaTek,144,4G,No,Yes,Yes,No Warranty,IPS,Micro-USB,Yes,Plastic,191,7.2,Very High
TEC-139,Tecno,Android 10,6.6,4100,6,256,100,40,MediaTek,144,5G,Yes,Yes,Yes,No Warranty,AMOLED,Type-C,Yes,Metal,190,6.9,High
XIA-781,Xiaomi,iOS 15,5.41,3700,4,128,84,25,Snapdragon,144,4G,Yes,Yes,Yes,1 Year,OLED,Micro-USB,Yes,Plastic,219,7.6,High
REA-787,Realme,Android 12,6.82,3800,4,256,16,40,Snapdragon,60,4G,Yes,Yes,Yes,No Warranty,AMOLED,Lightning,Yes,Glass,178,8.5,Low
REA-806,Realme,iOS 15,6.83,5500,12,64,36,25,Exynos,144,5G,Yes,Yes,No,No Warranty,AMOLED,Micro-USB,Yes,Glass,226,6.7,Very High
TEC-363,Tecno,Android 10,6.11,5200,4,512,100,40,Snapdragon,144,5G,No,Yes,Yes,1 Year,LCD,Lightning,No,Plastic,136,6.6,Medium
INF-276,Infinix,iOS 15,6.51,3500,12,512,52,25,Apple Bionic,120,4G,No,Yes,No,1 Year,OLED,Type-C,Yes,Metal,205,6.5,Very High
INF-494,Infinix,Android 11,5.99,5700,3,512,96,5,Snapdragon,120,4G,Yes,Yes,Yes,No Warranty,IPS,Type-C,No,Metal,240,8.9,Low
OPP-291,Oppo,iOS 15,5.22,4000,8,256,48,5,Exynos,60,4G,Yes,No,No,2 Years,IPS,Lightning,No,Glass,178,7.5,Low
VIV-175,Vivo,iOS 14,6.81,5000,6,256,36,10,MediaTek,144,5G,Yes,No,Yes,2 Years,LCD,Type-C,Yes,Glass,185,8.2,Low
TEC-340,Tecno,iOS 15,5.63,4200,8,512,60,25,Apple Bionic,120,4G,No,No,No,1 Year,AMOLED,Type-C,No,Plastic,183,6.7,Medium
HUA-553,Huawei,iOS 15,5.85,4100,12,64,12,20,Apple Bionic,90,5G,Yes,No,No,1 Year,LCD,Lightning,Yes,Glass,200,7.5,Very High
OPP-789,Oppo,Android 12,6.87,5500,12,512,72,35,MediaTek,90,5G,Yes,Yes,No,2 Years,AMOLED,Micro-USB,No,Glass,158,8.8,Low
VIV-237,Vivo,Android 12,5.04,3500,8,128,56,30,Snapdragon,60,4G,Yes,Yes,Yes,1 Year,IPS,Type-C,Yes,Glass,121,6.6,Very High
XIA-684,Xiaomi,Android 11,5.13,5400,8,64,104,15,Apple Bionic,144,5G,No,Yes,Yes,No Warranty,LCD,Type-C,No,Metal,219,7.6,Low
XIA-299,Xiaomi,iOS 15,5.93,5700,6,512,68,40,Apple Bionic,90,4G,Yes,Yes,No,No Warranty,OLED,Micro-USB,No,Metal,187,7.3,Low
OPP-525,Oppo,Android 12,6.62,3100,6,128,76,10,MediaTek,144,4G,Yes,No,No,No Warranty,AMOLED,Type-C,No,Metal,143,8.2,Very High
SAM-153,Samsung,iOS 15,6.53,3200,12,256,64,20,Snapdragon,144,5G,Yes,No,Yes,No Warranty,IPS,Lightning,Yes,Metal,186,8.0,Low
HUA-893,Huawei,iOS 14,5.59,4300,3,256,104,25,Kirin,90,5G,Yes,No,No,1 Year,OLED,Type-C,No,Glass,160,6.7,High
VIV-767,Vivo,Android 10,6.71,4800,3,128,36,5,Kirin,144,4G,Yes,Yes,Yes,1 Year,LCD,Micro-USB,Yes,Metal,163,9.0,Low
HUA-711,Huawei,iOS 14,6.56,4500,3,512,36,15,Exynos,90,4G,Yes,Yes,Yes,No Warranty,AMOLED,Micro-USB,Yes,Metal,240,8.2,High
VIV-917,Vivo,Android 11,6.93,5700,3,512,44,10,MediaTek,144,4G,No,No,Yes,2 Years,LCD,Type-C,Yes,Plastic,190,7.8,Very High
XIA-545,Xiaomi,Android 10,6.42,3200,6,32,48,5,Snapdragon,60,5G,Yes,Yes,No,No Warranty,IPS,Lightning,No,Glass,137,7.1,High
HUA-597,Huawei,iOS 15,5.82,4300,8,128,12,20,Kirin,144,4G,No,No,No,2 Years,LCD,Micro-USB,Yes,Metal,207,7.6,High
VIV-426,Vivo,Android 10,5.03,3500,3,64,44,35,Exynos,90,4G,No,Yes,Yes,2 Years,OLED,Micro-USB,Yes,Glass,196,7.0,Low
XIA-247,Xiaomi,Android 10,5.44,3000,3,32,72,40,Snapdragon,120,4G,No,No,No,2 Years,AMOLED,Micro-USB,Yes,Glass,144,7.8,Very High
TEC-811,Tecno,Android 10,6.81,4100,12,256,72,25,Exynos,144,4G,No,Yes,No,1 Year,LCD,Micro-USB,No,Plastic,172,8.6,Low
SAM-212,Samsung,iOS 14,5.14,5700,3,64,12,5,Snapdragon,120,4G,Yes,Yes,No,No Warranty,AMOLED,Micro-USB,No,Metal,185,6.7,Low
TEC-658,Tecno,Android 10,5.71,3500,3,64,16,5,Exynos,60,4G,Yes,No,No,2 Years,OLED,Type-C,No,Glass,141,6.8,Low
SAM-228,Samsung,Android 12,6.75,4000,3,256,100,30,Apple Bionic,144,4G,No,Yes,No,No Warranty,AMOLED,Lightning,No,Metal,226,6.5,Low
VIV-937,Vivo,Android 10,5.75,3200,3,256,104,25,Exynos,90,5G,Yes,Yes,No,No Warranty,LCD,Type-C,Yes,Metal,166,8.5,Medium
TEC-964,Tecno,iOS 15,6.21,4900,8,512,52,40,Exynos,144,4G,No,No,Yes,1 Year,IPS,Lightning,No,Glass,219,9.4,Very High
INF-354,Infinix,Android 11,6.61,3600,6,64,64,10,Exynos,90,4G,No,No,No,No Warranty,LCD,Lightning,No,Glass,173,7.0,Very High
HUA-561,Huawei,Android 10,6.95,5500,12,128,68,20,Apple Bionic,90,4G,Yes,No,No,No Warranty,AMOLED,Type-C,No,Plastic,209,8.7,Very High
INF-381,Infinix,Android 12,6.57,4400,2,256,44,25,Snapdragon,60,4G,No,No,No,No Warranty,OLED,Lightning,No,Glass,227,7.4,Medium
REA-694,Realme,Android 11,6.75,3700,6,512,8,35,Kirin,60,5G,No,No,Yes,No Warranty,AMOLED,Type-C,Yes,Plastic,138,7.0,Very High
REA-380,Realme,iOS 15,6.06,5300,4,512,68,10,MediaTek,90,4G,No,Yes,No,No Warranty,AMOLED,Type-C,No,Metal,205,9.2,Very High
TEC-919,Tecno,iOS 15,6.61,4900,3,256,12,10,Exynos,120,5G,Yes,Yes,No,2 Years,AMOLED,Micro-USB,No,Glass,137,7.0,Very High
SAM-140,Samsung,Android 11,5.33,5500,6,64,108,35,Snapdragon,120,5G,Yes,Yes,Yes,2 Years,AMOLED,Micro-USB,No,Plastic,196,8.4,High
HUA-373,Huawei,Android 11,6.43,3600,12,32,80,25,Apple Bionic,120,5G,No,Yes,No,2 Years,AMOLED,Type-C,No,Metal,228,6.7,Very High
OPP-351,Oppo,Android 10,5.36,5300,12,256,20,35,MediaTek,90,4G,No,Yes,No,2 Years,OLED,Lightning,No,Plastic,132,7.1,Very High
XIA-803,Xiaomi,Android 10,6.46,5400,4,64,108,15,Exynos,90,4G,Yes,Yes,No,2 Years,IPS,Micro-USB,No,Metal,138,7.5,Low
APP-931,Apple,Android 11,5.51,5900,8,128,76,25,Snapdragon,144,5G,Yes,No,Yes,2 Years,AMOLED,Type-C,No,Plastic,207,7.2,High
TEC-379,Tecno,Android 10,6.3,3300,6,256,36,35,Apple Bionic,144,5G,Yes,No,Yes,No Warranty,LCD,Lightning,Yes,Plastic,161,7.2,Very High
SAM-713,Samsung,iOS 15,5.89,4800,8,64,88,40,MediaTek,90,5G,Yes,No,No,No Warranty,AMOLED,Type-C,No,Glass,124,6.9,Medium
OPP-604,Oppo,Android 12,5.53,4300,3,512,92,40,Exynos,60,5G,No,No,Yes,2 Years,AMOLED,Lightning,Yes,Plastic,227,8.0,Medium
TEC-419,Tecno,Android 11,6.65,3500,4,64,40,40,Kirin,90,4G,No,No,No,2 Years,IPS,Micro-USB,Yes,Metal,167,8.9,Low
XIA-537,Xiaomi,Android 10,6.79,5400,3,256,24,15,Exynos,120,4G,No,Yes,Yes,No Warranty,IPS,Lightning,Yes,Plastic,201,8.8,Very High
APP-254,Apple,iOS 14,6.78,5800,6,128,32,15,Exynos,120,5G,No,No,Yes,2 Years,OLED,Micro-USB,No,Glass,220,8.8,Very High
SAM-498,Samsung,iOS 14,6.14,5000,8,256,60,10,Snapdragon,90,5G,No,Yes,No,1 Year,AMOLED,Type-C,Yes,Glass,235,8.8,Very High
HUA-254,Huawei,iOS 15,6.03,3300,12,32,36,25,Kirin,144,4G,No,No,Yes,2 Years,AMOLED,Type-C,No,Glass,121,8.4,Very High
SAM-401,Samsung,Android 12,5.7,5800,8,256,88,25,Kirin,90,5G,Yes,Yes,No,1 Year,OLED,Type-C,Yes,Plastic,174,7.1,Low
TEC-673,Tecno,Android 12,5.9,3000,2,512,108,20,Apple Bionic,120,5G,No,No,No,2 Years,LCD,Type-C,Yes,Glass,229,6.5,Very High
VIV-363,Vivo,Android 12,5.87,5500,6,256,80,5,MediaTek,144,5G,Yes,No,Yes,1 Year,OLED,Lightning,No,Metal,185,9.0,Low
OPP-648,Oppo,Android 12,5.36,5800,2,512,40,5,Snapdragon,60,5G,No,Yes,No,No Warranty,IPS,Type-C,No,Glass,215,6.5,Low
VIV-382,Vivo,Android 11,5.14,5000,4,512,8,10,Kirin,90,4G,No,Yes,No,2 Years,OLED,Type-C,Yes,Metal,226,9.1,Medium
VIV-468,Vivo,iOS 14,6.98,3000,8,256,44,25,Exynos,90,4G,Yes,No,No,1 Year,LCD,Lightning,Yes,Metal,191,7.8,Low
TEC-751,Tecno,iOS 15,6.03,3600,4,64,16,30,Exynos,60,5G,Yes,Yes,No,1 Year,AMOLED,Lightning,No,Glass,216,7.6,High
INF-947,Infinix,iOS 15,6.89,4100,4,32,12,20,Kirin,60,5G,No,No,Yes,No Warranty,OLED,Type-C,No,Glass,138,8.5,Medium
SAM-660,Samsung,Android 11,5.53,3800,2,256,8,5,Apple Bionic,144,5G,No,Yes,Yes,No Warranty,LCD,Lightning,No,Metal,130,9.2,Medium
XIA-287,Xiaomi,Android 10,6.73,5300,3,256,80,35,MediaTek,90,5G,Yes,Yes,No,2 Years,LCD,Lightning,Yes,Plastic,167,8.8,Very High
INF-853,Infinix,Android 10,5.35,3400,2,128,100,20,Snapdragon,120,4G,No,Yes,No,2 Years,IPS,Lightning,No,Plastic,120,8.4,Medium
OPP-754,Oppo,Android 11,6.49,3700,3,512,20,20,Snapdragon,90,5G,No,No,Yes,1 Year,AMOLED,Lightning,Yes,Metal,177,9.0,High
INF-673,Infinix,iOS 14,6.52,4000,2,64,76,10,Kirin,60,4G,Yes,No,No,1 Year,OLED,Lightning,No,Glass,174,8.5,High
INF-415,Infinix,iOS 14,6.57,4800,4,32,12,20,Snapdragon,120,4G,Yes,No,Yes,No Warranty,AMOLED,Lightning,Yes,Glass,239,7.4,High
REA-232,Realme,Android 10,6.71,4000,3,32,28,5,MediaTek,60,4G,Yes,No,No,2 Years,AMOLED,Lightning,No,Metal,138,8.7,Low
VIV-197,Vivo,Android 10,6.06,3000,4,64,12,30,MediaTek,144,5G,Yes,Yes,No,No Warranty,IPS,Type-C,Yes,Plastic,189,8.1,Medium
VIV-434,Vivo,iOS 15,5.78,5500,3,32,92,25,MediaTek,60,4G,No,No,No,No Warranty,IPS,Lightning,No,Glass,152,7.6,Medium
APP-584,Apple,Android 10,5.2,3400,4,256,20,30,Apple Bionic,120,4G,No,No,Yes,No Warranty,IPS,Type-C,Yes,Metal,136,8.1,High
HUA-825,Huawei,Android 12,6.2,3200,8,32,12,35,Kirin,60,5G,Yes,No,No,2 Years,OLED,Type-C,Yes,Plastic,170,9.4,Medium
XIA-114,Xiaomi,iOS 14,5.86,3900,8,128,64,20,Exynos,90,4G,Yes,No,No,No Warranty,LCD,Type-C,No,Glass,166,6.9,High
APP-387,Apple,Android 12,6.84,4400,4,256,48,40,Snapdragon,90,5G,Yes,Yes,Yes,2 Years,OLED,Micro-USB,Yes,Plastic,204,8.1,Low
APP-112,Apple,iOS 15,5.27,3900,3,64,24,30,Exynos,60,4G,Yes,No,Yes,No Warranty,IPS,Lightning,Yes,Plastic,159,8.7,Very High
TEC-142,Tecno,Android 11,5.38,5500,12,64,108,35,Exynos,90,5G,Yes,Yes,No,1 Year,IPS,Micro-USB,Yes,Glass,154,8.7,Medium
APP-158,Apple,iOS 14,6.37,5800,12,256,84,20,Apple Bionic,60,5G,No,No,No,1 Year,LCD,Micro-USB,Yes,Metal,219,7.3,Medium
INF-483,Infinix,iOS 14,5.1,5000,12,512,32,10,Apple Bionic,60,5G,Yes,Yes,Yes,No Warranty,OLED,Type-C,Yes,Plastic,197,6.9,High
HUA-672,Huawei,iOS 14,5.76,4000,12,256,16,20,MediaTek,60,5G,No,No,Yes,2 Years,AMOLED,Type-C,Yes,Plastic,180,7.6,High
APP-528,Apple,iOS 14,5.2,4800,12,512,24,15,Exynos,60,5G,No,No,Yes,1 Year,OLED,Lightning,Yes,Metal,159,8.1,High
XIA-164,Xiaomi,Android 10,5.01,5100,8,512,64,30,Snapdragon,120,5G,No,No,Yes,2 Years,IPS,Type-C,No,Plastic,171,8.4,Medium
XIA-702,Xiaomi,Android 12,6.5,3600,12,64,28,5,Snapdragon,60,5G,No,No,Yes,No Warranty,LCD,Type-C,Yes,Metal,140,9.0,Low
HUA-697,Huawei,Android 12,6.89,4600,6,512,16,25,Kirin,144,5G,No,No,Yes,2 Years,LCD,Micro-USB,Yes,Plastic,227,8.2,Medium
SAM-393,Samsung,Android 11,5.88,5400,12,32,24,30,Exynos,120,4G,Yes,No,Yes,2 Years,LCD,Micro-USB,Yes,Metal,149,6.5,Medium
SAM-986,Samsung,iOS 14,6.75,5800,6,128,20,5,Snapdragon,144,5G,Yes,No,Yes,2 Years,IPS,Micro-USB,No,Plastic,142,8.0,Low
XIA-470,Xiaomi,Android 11,6.46,5400,6,256,88,35,Kirin,60,5G,No,Yes,Yes,No Warranty,AMOLED,Lightning,Yes,Plastic,216,9.2,Very High
VIV-706,Vivo,Android 10,6.44,4900,2,64,28,35,Kirin,90,4G,No,No,No,1 Year,IPS,Micro-USB,No,Plastic,176,7.4,High
APP-214,Apple,Android 12,5.67,5600,12,512,28,40,Exynos,60,4G,Yes,Yes,No,2 Years,AMOLED,Lightning,No,Plastic,182,8.8,Low
HUA-688,Huawei,Android 11,5.76,3400,4,512,60,30,Kirin,120,5G,Yes,No,Yes,No Warranty,IPS,Type-C,No,Plastic,160,7.1,Very High
HUA-687,Huawei,iOS 14,5.12,4100,8,128,36,15,Apple Bionic,120,5G,Yes,Yes,No,No Warranty,AMOLED,Micro-USB,No,Plastic,240,7.6,Low
REA-410,Realme,iOS 14,5.29,4300,2,256,72,10,Snapdragon,90,5G,Yes,No,Yes,No Warranty,LCD,Type-C,Yes,Metal,187,7.8,High
SAM-367,Samsung,Android 11,6.46,3100,12,512,104,25,MediaTek,120,4G,Yes,Yes,No,1 Year,OLED,Type-C,No,Plastic,216,8.3,Low
SAM-767,Samsung,iOS 15,6.8,4200,8,256,104,40,Apple Bionic,90,4G,Yes,Yes,No,No Warranty,AMOLED,Micro-USB,Yes,Plastic,135,7.7,High
SAM-951,Samsung,iOS 14,6.32,3600,4,32,16,20,Kirin,120,4G,No,No,Yes,1 Year,AMOLED,Type-C,No,Glass,188,6.6,Low
SAM-466,Samsung,Android 10,5.11,3100,12,512,84,35,Kirin,144,5G,Yes,Yes,Yes,No Warranty,OLED,Lightning,Yes,Glass,169,7.5,Very High
